time_stamp,sec_since_session_start,data,screen_position,__class__
2013-12-10 19:08:48,5,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1754.0, 734.0)",SelectNode
2013-12-10 19:08:48,5,,"(1754.0, 734.0)",StartTouch
2013-12-10 19:08:49,6,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1414.0, 721.0)",ReleaseNode
2013-12-10 19:08:50,7,"[ConnectorControl: Id=344452c8-1864-4f6e-8c04-6c4b6c8d6266, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Charge=Positive]","(1396.0, 832.0)",SelectConnector
2013-12-10 19:08:51,8,"[ConnectorControl: Id=344452c8-1864-4f6e-8c04-6c4b6c8d6266, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Charge=Positive]","(1457.0, 843.0)",ReleaseConnector
2013-12-10 19:08:51,8,"[ConnectorControl: Id=344452c8-1864-4f6e-8c04-6c4b6c8d6266, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Charge=Positive]","(1387.0, 813.0)",SelectConnector
2013-12-10 19:08:51,8,"[ConnectorControl: Id=344452c8-1864-4f6e-8c04-6c4b6c8d6266, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Charge=Positive]","(1492.0, 802.0)",ReleaseConnector
2013-12-10 19:08:51,8,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1434.0, 711.0)",SelectNode
2013-12-10 19:08:51,8,,"(1434.0, 711.0)",StartTouch
2013-12-10 19:08:52,9,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red]","(1631.0, 763.0)",ReleaseNode
2013-12-10 19:08:52,9,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1427.0, 276.0)",SelectNode
2013-12-10 19:08:52,9,,"(1427.0, 276.0)",StartTouch
2013-12-10 19:08:54,11,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1432.0, 656.0)",ReleaseNode
2013-12-10 19:08:54,11,"[Connection: Id=f2d348d1-c7f4-4431-8470-5e564a44ed05, Source=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Active, Color=Red], Destination=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=Active]]","(1300.0, 743.0)",RemoveConnection
2013-12-10 19:08:54,11,,"(1357.0, 613.0)",EndTouch
2013-12-10 19:08:55,12,,"(1469.0, 768.0)",EndTouch
2013-12-10 19:08:56,13,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1439.0, 638.0)",SelectNode
2013-12-10 19:08:56,13,,"(1439.0, 638.0)",StartTouch
2013-12-10 19:08:56,13,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1440.0, 496.0)",ReleaseNode
2013-12-10 19:08:57,14,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1463.0, 499.0)",SelectNode
2013-12-10 19:08:57,14,,"(1463.0, 499.0)",StartTouch
2013-12-10 19:08:58,15,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1413.0, 783.0)",ReleaseNode
2013-12-10 19:08:58,15,"[Connection: Id=6d147a15-7dbd-4ab1-acec-a168280ba19c, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Destination=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Charged, Color=Red]]","(1301.0, 743.0)",RemoveConnection
2013-12-10 19:08:58,15,,"(1098.0, 677.0)",EndTouch
2013-12-10 19:08:59,16,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(246.0, 253.0)",SelectNode
2013-12-10 19:08:59,16,,"(246.0, 253.0)",StartTouch
2013-12-10 19:09:01,18,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1274.0, 863.0)",ReleaseNode
2013-12-10 19:09:01,18,,"(1397.0, 724.0)",EndTouch
2013-12-10 19:09:02,19,,"(1375.0, 743.0)",EndTouch
2013-12-10 19:09:03,20,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1331.0, 880.0)",SelectNode
2013-12-10 19:09:03,20,,"(1331.0, 880.0)",StartTouch
2013-12-10 19:09:05,22,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1463.0, 1040.0)",ReleaseNode
2013-12-10 19:09:06,23,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=None, Color=Red]","(1754.0, 788.0)",SelectNode
2013-12-10 19:09:06,23,,"(1754.0, 788.0)",StartTouch
2013-12-10 19:09:10,27,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=None, Color=Red]","(1803.0, 637.0)",ReleaseNode
2013-12-10 19:09:12,29,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1005.0, 793.0)",SelectNode
2013-12-10 19:09:12,29,,"(1005.0, 793.0)",StartTouch
2013-12-10 19:09:13,30,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1306.0, 459.0)",ReleaseNode
2013-12-10 19:09:13,30,,"(1438.0, 413.0)",EndTouch
2013-12-10 19:09:14,31,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1333.0, 428.0)",SelectNode
2013-12-10 19:09:14,31,,"(1333.0, 428.0)",StartTouch
2013-12-10 19:09:17,34,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1453.0, 642.0)",ReleaseNode
2013-12-10 19:09:17,34,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1479.0, 581.0)",SelectNode
2013-12-10 19:09:17,34,,"(1479.0, 581.0)",StartTouch
2013-12-10 19:09:18,35,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1456.0, 557.0)",ReleaseNode
2013-12-10 19:09:19,36,,"(1770.0, 919.0)",EndTouch
2013-12-10 19:09:19,36,TurnOff,"(6.0, 4.0)",ToggleScoreCard
2013-12-10 19:09:27,44,,"(1677.0, 1420.0)",DismissScoreCard
2013-12-10 19:09:27,44,,"(1664.0, 1387.0)",EndTouch
2013-12-10 19:09:28,45,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1457.0, 510.0)",SelectNode
2013-12-10 19:09:28,45,,"(1457.0, 510.0)",StartTouch
2013-12-10 19:09:28,45,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1038.0, 503.0)",ReleaseNode
2013-12-10 19:09:28,45,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1545.0, 807.0)",SelectNode
2013-12-10 19:09:28,45,,"(1545.0, 807.0)",StartTouch
2013-12-10 19:09:29,46,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1308.0, 807.0)",ReleaseNode
2013-12-10 19:09:30,47,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1106.0, 579.0)",SelectConnector
2013-12-10 19:09:31,48,"[Connection: Id=d9b835a6-f181-4ebb-a8e2-8027f638259d, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Destination=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Red]]","(1177.0, 655.0)",AddConnection
2013-12-10 19:09:31,48,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1362.0, 714.0)",ReleaseConnector
2013-12-10 19:09:33,50,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1472.0, 1036.0)",SelectNode
2013-12-10 19:09:33,50,,"(1472.0, 1036.0)",StartTouch
2013-12-10 19:09:34,51,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1593.0, 1134.0)",ReleaseNode
2013-12-10 19:09:34,51,"[Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, From=Red, To=Blue]","(1312.0, 805.0)",ChangeLEDColor
2013-12-10 19:09:34,51,,"(1457.0, 753.0)",EndTouch
2013-12-10 19:09:36,53,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]","(1312.0, 805.0)",SelectNode
2013-12-10 19:09:36,53,,"(1312.0, 805.0)",StartTouch
2013-12-10 19:09:37,54,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]","(1341.0, 885.0)",ReleaseNode
2013-12-10 19:09:39,56,"[Connection: Id=d9b835a6-f181-4ebb-a8e2-8027f638259d, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Destination=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]]","(1190.0, 695.0)",RemoveConnection
2013-12-10 19:09:39,56,,"(1392.0, 669.0)",EndTouch
2013-12-10 19:09:42,59,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1086.0, 577.0)",SelectConnector
